timestamp,success_rate,S_start,S_end,S_range,q,n,mu1,mu2,num_trials,acc_given_U,acc_given_V,Set U,Mean of U,seed
2026-07-15T15:33:51,0.444,10000,1000000,990000,100,200000,20000,30000,2000,1.0,0.0,"[62212.01884842 54304.67825015 21431.40165175 26014.93808413
  6771.09219467 11747.01504022 10453.7493765  24222.82553027]",27144.71487201271,
2026-07-15T16:19:14,1.0,10000,1000000,990000,100,200000,20000,30000,2000,1.0,nan,"[ 26571.08492574  11523.64619999  16369.44179238  12807.71368959
 108124.15697657  43947.04706175  21113.42074589  24509.09106831]",33120.70030752964,
2026-07-15T16:20:12,1.0,10000,1000000,990000,100,200000,20000,20500,2000,1.0,nan,"[55054.16369515  3152.95226122 12935.48210444  3167.63944748
  7377.97980818 11606.61035902 19077.78449471 35946.89734731]",18539.938689688664,
2026-07-15T16:20:25,0.9545,10000,1000000,990000,100,200000,20000,20100,2000,1.0,0.0,"[ 9764.77870242 66166.67233453 46550.89062001 41535.62430699
 40833.96893786  2249.93682076 31172.78408789 39235.71948937]",34688.796912477956,
2026-07-15T16:20:43,0.6725,10000,1000000,990000,100,200000,20000,20050,2000,1.0,0.0,"[16055.73293677  1481.95497439 19175.6276928   7488.02702812
 88872.43776094  6614.429079    2731.03835296 15968.1362113 ]",19798.423004536457,
2026-07-15T16:20:58,0.7405,10000,1000000,990000,100,200000,20000,20060,2000,1.0,0.0,"[39583.36256023 22678.9846221   5746.53610763 15708.75008586
  8974.44073437 15159.69797416  8859.32732558  7657.35637048]",15546.056972550814,
2026-07-15T16:21:06,0.831,10000,1000000,990000,100,200000,20000,20070,2000,1.0,0.0,"[ 5905.61839141 34995.65910878 75538.28787607  1489.54764399
 13743.88385379  7009.65134683 14507.63071683 30080.57906119]",22908.85724986149,
2026-07-15T16:21:16,0.9525,10000,1000000,990000,100,200000,20000,20100,2000,1.0,0.0,"[27603.20489531 58098.60773326 29928.10252729 12709.61456384
  1345.17369499 42473.90596398  3129.1563109  17881.46175062]",24146.153430023478,
2026-07-15T16:21:27,0.996,10000,1000000,990000,100,200000,20000,20150,2000,1.0,0.0,"[ 7631.20006602 18896.81045926 60219.11941456 24998.83196982
  7715.67595476   714.40110057  7107.59342024 22332.85398439]",18702.06079620197,
2026-07-15T16:21:36,0.998,10000,1000000,990000,100,200000,20000,20160,2000,1.0,0.0,"[ 1155.89414832 21481.37181352 21200.30040043  6203.19332779
  4996.72262693   327.47392816 21855.45646974 50108.01846935]",15916.053898029511,
